model_id,downloads (past month),quantization,num_ops,ops
mixedbread-ai/mxbai-embed-large-v1,2835769,quantized,22,"Add, Cast, Concat, Constant, DequantizeLinear, Div, DynamicQuantizeLinear, Erf, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
mixedbread-ai/mxbai-embed-large-v1,2835769,fp32,19,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
mixedbread-ai/mxbai-embed-large-v1,2835769,fp16,19,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Alibaba-NLP/gte-base-en-v1.5,1550419,uint8,28,"Add, Cast, Concat, Constant, ConstantOfShape, DequantizeLinear, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-base-en-v1.5,1550419,quantized,28,"Add, Cast, Concat, Constant, ConstantOfShape, DequantizeLinear, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-base-en-v1.5,1550419,q4,26,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Erf, Expand, Gather, MatMul, MatMulNBits, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-base-en-v1.5,1550419,int8,28,"Add, Cast, Concat, Constant, ConstantOfShape, DequantizeLinear, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-base-en-v1.5,1550419,fp32,25,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Erf, Expand, Gather, MatMul, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-base-en-v1.5,1550419,fp16,25,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Erf, Expand, Gather, MatMul, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-base-en-v1.5,1550419,bnb4,26,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Erf, Expand, Gather, MatMul, MatMulBnb4, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
WhereIsAI/UAE-Large-V1,1474123,quantized,22,"Add, Cast, Concat, Constant, DequantizeLinear, Div, DynamicQuantizeLinear, Erf, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
WhereIsAI/UAE-Large-V1,1474123,fp32,19,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
WhereIsAI/UAE-Large-V1,1474123,fp16,19,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
nomic-ai/nomic-embed-text-v1,1414515,quantized,31,"Add, Cast, Concat, Constant, ConstantOfShape, Cos, DequantizeLinear, Div, DynamicQuantizeLinear, Einsum, Equal, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze, Where"
nomic-ai/nomic-embed-text-v1,1414515,fp32,28,"Add, Cast, Concat, Constant, ConstantOfShape, Cos, Div, Einsum, Equal, Expand, Gather, MatMul, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze, Where"
AdamCodd/vit-base-nsfw-detector,1242939,uint8,24,"Add, Cast, Concat, ConvInteger, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze, Where"
AdamCodd/vit-base-nsfw-detector,1242939,quantized,24,"Add, Cast, Concat, ConvInteger, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze, Where"
